model,epoch,train_accuracy,val_accuracy,train_loss,val_loss
Original + enhanced,10,0.9802631578947368,0.9736842105263158,0.07975966667168234,0.07149355682103258
Original + enhanced,11,0.9868421052631579,1,0.04949773114027554,0.03580647829527918
Original + enhanced,12,0.9605263157894737,1,0.1838498459638734,0.00727289214142059
Original + grayscale,1,0.6776315789473685,0.7368421052631579,0.7869321037279932,4.12243934681541
Original + grayscale,2,0.8355263157894737,0.5789473684210527,0.4389888110913728,6.389049191223948
Original + grayscale,3,0.875,0.8947368421052632,0.3479856506578232,0.3241750801864423
Original + grayscale,4,0.9078947368421053,0.868421052631579,0.2284849789973936,0.3023224974933423
Original + grayscale,5,0.9078947368421053,1,0.2789920817472433,0.05345067381858826
Original + grayscale,6,0.9473684210526315,1,0.1957918942758912,0.1246892213821411
Original + grayscale,7,0.9276315789473685,0.8947368421052632,0.207548402347847,0.2745125434900585
Original + grayscale,8,0.9473684210526315,1,0.1403721333726456,0.0715023683089959
Original + grayscale,9,0.9605263157894737,0.9210526315789473,0.1017249030992389,0.33164207264781
Original + grayscale,10,0.9276315789473685,0.9473684210526315,0.1643111521476193,0.1875161194291554
Original + grayscale,11,0.9736842105263158,0.9473684210526315,0.08317689210372536,0.07798486923504817
Original + grayscale,12,0.9868421052631579,1,0.08176212306869657,0.03606600066843001
Original + CLAHE,1,0.75,0.5789473684210527,0.6191794715429607,7.311588488127056
Original + CLAHE,2,0.8881578947368421,0.8947368421052632,0.3006550714765724,0.2409231309828005
Original + CLAHE,3,0.9210526315789473,0.9210526315789473,0.2031126908565822,0.1977347692376689
Original + CLAHE,4,0.9407894736842105,0.868421052631579,0.1575769974703067,0.3972405610900176
Original + CLAHE,5,0.9473684210526315,0.8947368421052632,0.1629365053714106,0.1206955845026593
Original + CLAHE,6,0.9276315789473685,1,0.233196577939548,0.0828253603295276
Original + CLAHE,7,0.9605263157894737,0.8947368421052632,0.1243635043011684,0.1899233609437943
Original + CLAHE,8,0.9473684210526315,0.4473684210526316,0.1655494943751316,1.46886157989502
Original + CLAHE,9,0.9276315789473685,0.868421052631579,0.2295105626904651,0.2782110991446595
Original + CLAHE,10,0.9605263157894737,0.8947368421052632,0.1112937745883277,0.2484672532269829
Original + CLAHE,11,0.993421052631579,0.8947368421052632,0.0458311541005969,0.2140940035644331
Original + CLAHE,12,0.9868421052631579,0.9473684210526315,0.06502653121654141,0.1109428325373875
All variants,1,0.819078947368421,0.75,0.479812097686686,0.6113418175985939
All variants,2,0.8947368421052632,0.7631578947368421,0.2609642146057204,0.3996827508273877
All variants,3,0.9375,0.9342105263157895,0.1665495157633957,0.1917372612576736
All variants,4,0.944078947368421,1,0.170053609910323,0.06287219189107418
All variants,5,0.9539473684210527,0.9605263157894737,0.1466256409981533,0.176931722677852
All variants,6,0.9769736842105263,0.9736842105263158,0.07544924305310767,0.06775940886061442
All variants,7,0.9671052631578947,1,0.08821855548548659,0.01642102309453644
All variants,8,0.9638157894736842,1,0.1310824329143782,0.08356460046611335
All variants,9,0.9539473684210527,1,0.09814683585060074,0.06772652229196147
All variants,10,0.9671052631578947,1,0.0893210459341246,0.02421240798981958
All variants,11,1,1,0.01396244518017691,0.001709481767121408
All variants,12,0.9802631578947368,0.9473684210526315,0.06838211427920644,0.1218972646112027
