epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,262.451,1.3844,1.31215,1.33917,0.83487,0.7493,0.87477,0.47949,1.60597,1.23931,1.41403,0.000581,0.000581,0.000581
45,271.483,1.49863,1.37783,1.33707,0.8225,0.74074,0.86514,0.48044,1.61518,1.28973,1.40949,0.000548,0.000548,0.000548
46,280.374,1.34812,1.19939,1.25765,0.72283,0.77288,0.8429,0.45564,1.59543,1.3765,1.39891,0.000515,0.000515,0.000515
47,289.273,1.38527,1.36208,1.28963,0.68729,0.65157,0.74949,0.42436,1.59413,1.4514,1.4047,0.000482,0.000482,0.000482
48,298.285,1.30504,1.19205,1.24954,0.66349,0.7305,0.77294,0.40005,1.57712,1.49595,1.39522,0.000449,0.000449,0.000449
49,307.195,1.35582,1.20012,1.28817,0.58923,0.81481,0.76247,0.40237,1.57627,1.53151,1.38785,0.000416,0.000416,0.000416
50,315.944,1.26419,1.11403,1.2339,0.58923,0.81481,0.76247,0.40237,1.57627,1.53151,1.38785,0.000383,0.000383,0.000383
51,324.96,1.23821,1.39344,1.24143,0.66036,0.72041,0.77743,0.42076,1.58147,1.45447,1.3821,0.00035,0.00035,0.00035
52,333.567,1.19547,1.58416,1.19635,0.80005,0.62963,0.78434,0.43985,1.57557,1.39086,1.36855,0.000317,0.000317,0.000317
53,342.084,1.18276,1.31515,1.18794,0.82447,0.62963,0.79871,0.46113,1.57873,1.34849,1.36312,0.000284,0.000284,0.000284
54,350.083,1.23287,1.40306,1.2058,0.5857,0.81481,0.79164,0.46599,1.59675,1.36726,1.36631,0.000251,0.000251,0.000251
55,358.239,1.26482,1.37585,1.20762,0.59329,0.86465,0.79815,0.46639,1.62248,1.34337,1.37311,0.000218,0.000218,0.000218
56,366.722,1.23754,1.22806,1.20072,0.82921,0.62963,0.80765,0.47155,1.6152,1.31609,1.37022,0.000185,0.000185,0.000185
57,375.048,1.29625,1.41657,1.26947,0.78757,0.66667,0.81147,0.46321,1.62651,1.30537,1.38448,0.000152,0.000152,0.000152
58,383.295,1.23497,1.32053,1.22017,0.82564,0.66667,0.82105,0.46277,1.62239,1.30042,1.39034,0.000119,0.000119,0.000119
